Trace
EMI:FSCAN
A.18.24,N9010A
507 B25 EP3 FS1 P07 ,01

Preselector,Off
Scan Type,Smooth
Number of scans,1
Y Axis Unit,dBuV
Ref Level Offset,-10 dB
Coupling,DC
Input Z Correction,50 ohm

Start Frequency, Stop Frequency, RBW, Scan Points
150000,30000000,9000,13268

DATA
Trace,1
Detector,Peak
525740.5592824301,32.2753979803719
527990.50275118719,34.3966061712899
530240.44621994416,32.8448254706063
532490.38968870137,34.2855298163094
534740.33315745834,32.5330807806649
536990.27662621543,34.3154980780282
539240.22009497252,32.6792447210946
541490.1635637295,35.1146695257821
543740.1070324867,33.5178067328133
545990.05050124368,34.6153485418953
548239.99397000077,33.0257565619149
550489.93743875786,34.8023526312508
552739.88090751483,33.3858029486336
554989.824376272,34.2172467352547
557239.767845029,34.1922452093758
559489.7113137861,34.1875989081063
561739.65478254319,33.9910122992196
563989.59825130017,34.4922558905282
566239.54172005737,33.8028638006844
568489.48518881435,34.2184445501961
570739.42865757144,33.7761227728524
572989.37212632853,34.6540982367196
575239.3155950855,33.9586331488289
